tree,d,insertion_order,insert_avg_s,height,utilization,splits,redistributions,two_to_three_splits
B-tree,3,random,0.26213438894289237,8,0.6389980510559443,31290,0,0
B+ tree,3,random,0.2532866942929104,8,0.6684972826793562,38448,0,0
B* tree,3,random,0.7950233473675326,7,0.8177952240758914,688,83214,23760
B-tree,3,ascending,0.24202393061326197,9,0.4000400040004,49985,0,0
B+ tree,3,ascending,0.2724414999829605,9,0.5333813381338134,49985,0,0
B* tree,3,ascending,0.3236151806777343,8,0.6000420029402058,8,41641,33314
B-tree,3,descending,0.24676569427053133,9,0.4000400040004,49985,0,0
B+ tree,3,descending,0.19934115236780295,10,0.40003200298694547,74982,0,0
B* tree,3,descending,0.2516228889580816,8,0.6000420029402058,8,66638,33314
B-tree,5,random,0.21482459700200707,5,0.6698282560351526,16582,0,0
B+ tree,5,random,0.1972497079987079,5,0.692155913110549,18577,0,0
B* tree,5,random,0.3465201113528262,5,0.842133629764371,146,56827,13042
B-tree,5,ascending,0.20806356930794814,6,0.44453335111466735,24988,0,0
B+ tree,5,ascending,0.26980886100015294,6,0.5334355760040898,24988,0,0
B* tree,5,ascending,0.3297641810107355,5,0.6667733504027311,5,35692,16653
B-tree,5,descending,0.20888088864739984,6,0.44453335111466735,24988,0,0
B+ tree,5,descending,0.12460204167291522,6,0.444536909601084,31236,0,0
B* tree,5,descending,0.21293647199248275,6,0.5556666888933343,6,43297,19983
B-tree,10,random,0.22451387497130781,4,0.6857534716269501,7670,0,0
B+ tree,10,random,0.20782174996566027,4,0.6995353740434171,8083,0,0
B* tree,10,random,0.3191554583609104,3,0.8569127148708633,35,36913,6103
B-tree,10,ascending,0.20795127799889693,4,0.4738168792525065,11103,0,0
B+ tree,10,ascending,0.2907665139840295,4,0.5211938290089646,11103,0,0
B* tree,10,ascending,0.38731274967237067,4,0.6842378958316228,4,25232,7683
B-tree,10,descending,0.21163013895663121,4,0.4738168792525065,11103,0,0
B+ tree,10,descending,0.1071593613208582,4,0.4737396391172357,12339,0,0
B* tree,10,descending,0.17183454160112888,4,0.6316800161710084,4,27514,8323
