tree,d,selectivity,expected_key_count,lo,hi,range_avg_s,range_record_count,matched_record_count,avg_height,avg_weight,visited_internal_nodes,visited_leaf_nodes
B-tree,10,0.001,100,202348911,202349584,0.0006917997961863875,100,22,162.27272727272728,53.79999999999998,2695,667
B+ tree,10,0.001,100,202348911,202349584,1.4849985018372535e-05,100,22,162.27272727272728,53.79999999999998,4,8
B* tree,10,0.001,100,202348911,202349584,0.0007593081798404455,100,22,162.27272727272728,53.79999999999998,2021,668
B-tree,10,0.01,1000,202345714,202352918,0.0077039169846102595,1000,189,161.9640211640212,55.48888888888886,28815,7131
B+ tree,10,0.01,1000,202345714,202352918,0.00012743338011205195,1000,189,161.9640211640212,55.48888888888886,4,80
B* tree,10,0.01,1000,202345714,202352918,0.008147441619075834,1000,189,161.9640211640212,55.48888888888886,21612,7147
B-tree,10,0.05,5000,202331808,202367159,0.036048541823402044,5000,935,161.332834224599,54.76951871657765,141381,34996
B+ tree,10,0.05,5000,202331808,202367159,0.0006992834154516458,5000,935,161.332834224599,54.76951871657765,4,380
B* tree,10,0.05,5000,202331808,202367159,0.03785109999589622,5000,935,161.332834224599,54.76951871657765,106039,35065
B-tree,10,0.1,10000,202314160,202384492,0.07261520801112056,10000,1856,161.06519396551752,54.63787715517242,281280,69618
B+ tree,10,0.1,10000,202314160,202384492,0.0018963582348078488,10000,1856,161.06519396551752,54.63787715517242,4,756
B* tree,10,0.1,10000,202314160,202384492,0.07413279979955405,10000,1856,161.06519396551752,54.63787715517242,210964,69751
B-tree,10,0.5,50000,202174680,202524829,0.3513146415818483,50000,9263,161.02526179423418,54.599114757637984,1400319,346572
B+ tree,10,0.5,50000,202174680,202524829,0.009984983201138675,50000,9263,161.02526179423418,54.599114757637984,4,3761
B* tree,10,0.5,50000,202174680,202524829,0.3645582330180332,50000,9263,161.02526179423418,54.599114757637984,1050276,347261
